AGS,Stadtteil_Nr,Stadtteil,Stichtag,Quelle,Wohnbev_insg,Deutsch,Nichtdeutsch,AGS_dup,Stadtteil_Nr_dup,Quelle_dup,Fam_Stand_ledig (ab 18J),Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J),Fam_Stand_Verwitwet_LP-gestorben (ab 18J),Fam_Stand_Geschieden_LP aufgehoben (ab 18J),Fam_Stand_unbekannt (ab 18J),GEMEINDE,STT,STADTVIERTEL,EINW_HW_GESAMT,EINW_HW_FRAUEN,EINW_HW_DEUTSCH,EINW_HW_NICHTDEUTSCH,EINW_HW_unter18,EINW_HW_18_bis_unter_30,EINW_HW_30_bis_unter_40,EINW_HW_40_bis_unter_50,EINW_HW_50_bis_unter_60,EINW_HW_60_und_aelter,Haushalte,Wohnbevoelkerung insg.,Religion - katholisch,Religion - evangelisch,Religion - sonstige,Lebendgeburten,Geburten je 1000 Einw.,Sterbefaelle,Sterbefaelle je 1000 Einw.,natuerliche Bevoelkerungssaldo,Kaufkraft-Index (pro Einwohner)
8335043.0,130.0,Dettingen,2014,Stadt Konstanz - Eigene Einwohnerfortschreibung,3124.0,2941.0,183.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,716.0,1532.0,195.0,164.0,0.0,Konstanz,"""130""","""1301""",1397.0,713.0,1310.0,87.0,237.0,193.0,151.0,176.0,202.0,438.0,665.0,3124.0,1416.0,744.0,964.0,29.0,"9,28",23.0,"7,36",6.0,"119,3604605"
8335043.0,130.0,Dettingen,2015,Stadt Konstanz - Eigene Einwohnerfortschreibung,3141.0,2917.0,224.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,711.0,1545.0,191.0,170.0,0.0,Konstanz,"""130""","""1301""",1390.0,701.0,1290.0,100.0,250.0,171.0,157.0,175.0,192.0,445.0,660.0,3141.0,1387.0,731.0,1023.0,29.0,"9,23",18.0,"5,73",11.0,"115,7725691"
8335043.0,130.0,Dettingen,2016,Stadt Konstanz - Eigene Einwohnerfortschreibung,3348.0,2972.0,376.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,748.0,1609.0,190.0,191.0,2.0,Konstanz,"""130""","""1301""",1608.0,804.0,1350.0,258.0,337.0,206.0,212.0,200.0,205.0,448.0,729.0,3348.0,1380.0,731.0,1237.0,24.0,"7,17",15.0,"4,48",9.0,"116,2334674"
8335043.0,130.0,Dettingen,2017,Stadt Konstanz - Eigene Einwohnerfortschreibung,3334.0,3001.0,333.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,768.0,1579.0,188.0,191.0,19.0,Konstanz,"""130""","""1301""",1609.0,798.0,1395.0,214.0,333.0,211.0,224.0,185.0,198.0,458.0,740.0,3334.0,1382.0,730.0,1222.0,33.0,"9,90",18.0,"5,40",15.0,"114,4506068"
8335043.0,130.0,Dettingen,2018,Stadt Konstanz - Eigene Einwohnerfortschreibung,3270.0,2959.0,311.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,762.0,1563.0,194.0,198.0,4.0,Konstanz,"""130""","""1301""",1548.0,776.0,1374.0,174.0,300.0,198.0,202.0,184.0,200.0,464.0,733.0,3270.0,1372.0,699.0,1199.0,22.0,"6,73",30.0,"9,17",-8.0,"116,5398428"
8335043.0,130.0,Dettingen,2019,Stadt Konstanz - Eigene Einwohnerfortschreibung,3289.0,2961.0,328.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,759.0,1576.0,191.0,198.0,3.0,Konstanz,"""130""","""1301""",1527.0,777.0,1362.0,165.0,296.0,194.0,182.0,187.0,203.0,465.0,730.0,3289.0,1349.0,693.0,1247.0,28.0,"8,51",23.0,"6,99",5.0,"120,8892504"
8335043.0,130.0,Dettingen,2020,Stadt Konstanz - Eigene Einwohnerfortschreibung,3342.0,2988.0,354.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,772.0,1592.0,193.0,207.0,3.0,Konstanz,"""130""","""1301""",1566.0,804.0,1381.0,185.0,303.0,204.0,176.0,200.0,213.0,470.0,744.0,3342.0,1344.0,693.0,1305.0,31.0,"9,28",19.0,"5,69",12.0,"116,8685696"
8335043.0,130.0,Dettingen,2021,Stadt Konstanz - Eigene Einwohnerfortschreibung,3399.0,3035.0,364.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,773.0,1609.0,197.0,214.0,7.0,Konstanz,"""130""","""1301""",1629.0,834.0,1429.0,200.0,324.0,210.0,189.0,214.0,211.0,481.0,768.0,3399.0,1348.0,688.0,1363.0,30.0,"8,83",19.0,"5,59",11.0,"108,2362361"
8335043.0,130.0,Dettingen,2022,Stadt Konstanz - Eigene Einwohnerfortschreibung,3422.0,3033.0,389.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,761.0,1589.0,198.0,215.0,29.0,Konstanz,"""130""","""1301""",1603.0,826.0,1404.0,199.0,318.0,201.0,162.0,225.0,204.0,493.0,760.0,3422.0,1297.0,672.0,1453.0,29.0,"8,47",38.0,"11,10",-9.0,"121,163412"
8335043.0,120.0,Dingelsdorf,2011,Stadt Konstanz - Eigene Einwohnerfortschreibung,2103.0,2010.0,93.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,530.0,1017.0,97.0,118.0,0.0,Konstanz,"""120""","""1201""",1773.0,905.0,1694.0,79.0,287.0,311.0,157.0,311.0,270.0,437.0,915.0,2103.0,992.0,473.0,638.0,14.0,"6,66",19.0,"9,03",-5.0,"119,2387932"
