AGS;Stadtteil_Nr;Stadtteil_Name;Jahr;Quelle;Lebendgeburten ;Geburten je 1000 Einw.;Sterbefaelle;Sterbefaelle je 1000 Einw.;natuerliche Bevoelkerungssaldo
08335043;140;Wallhausen;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,92;6;5,28;3
08335043;010;Altstadt;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;149;12,30;139;11,47;10
08335043;020;Paradies;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;47;7,69;60;9,82;-13
08335043;030;Petershausen-West;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;160;10,00;78;4,87;82
08335043;035;Petershausen-Ost;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;49;6,74;138;18,97;-89
08335043;040;Koenigsbau;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;52;8,32;30;4,80;22
08335043;050;Allmannsdorf;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;37;6,93;51;9,55;-14
08335043;060;Staad;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;7,25;12;6,69;1
08335043;070;Fuerstenberg;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;105;8,50;97;7,86;8
08335043;080;Wollmatingen;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;55;8,11;64;9,43;-9
08335043;090;Industriegebiet;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;11;10,06;9;8,23;2
08335043;100;Egg;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;13,11;3;3,93;7
08335043;110;Litzelstetten;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;31;8,09;36;9,40;-5
08335043;120;Dingelsdorf;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;22;10,51;16;7,64;6
08335043;130;Dettingen;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;22;6,73;30;9,17;-8
08335043;140;Wallhausen;2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;6,23;4;3,56;3
08335043;010;Altstadt;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;135;11,19;139;11,52;-4
08335043;020;Paradies;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;40;6,49;56;9,09;-16
08335043;030;Petershausen-West;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;151;9,67;100;6,40;51
08335043;035;Petershausen-Ost;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;54;7,51;117;16,28;-63
08335043;040;Koenigsbau;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;42;6,78;31;5,00;11
08335043;050;Allmannsdorf;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;40;7,50;44;8,25;-4
08335043;060;Staad;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;7,17;14;7,72;-1
08335043;070;Fuerstenberg;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;109;8,77;126;10,13;-17
08335043;080;Wollmatingen;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;63;9,27;58;8,54;5
08335043;090;Industriegebiet;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12;10,83;6;5,42;6
08335043;100;Egg;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;9,20;4;5,26;3
08335043;110;Litzelstetten;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;32;8,39;34;8,91;-2
08335043;120;Dingelsdorf;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;4,69;11;5,16;-1
08335043;130;Dettingen;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;33;9,90;18;5,40;15
08335043;140;Wallhausen;2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,85;7;6,10;2
08335043;010;Altstadt;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;118;9,87;119;9,96;-1
08335043;020;Paradies;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;52;8,50;52;8,50;0
08335043;030;Petershausen-West;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;182;11,70;97;6,24;85
08335043;035;Petershausen-Ost;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;61;8,52;142;19,84;-81
08335043;040;Koenigsbau;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;45;7,32;39;6,35;6
08335043;050;Allmannsdorf;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;37;6,97;33;6,22;4
08335043;060;Staad;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;15;8,30;15;8,30;0
08335043;070;Fuerstenberg;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;109;8,91;94;7,68;15
08335043;080;Wollmatingen;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;74;10,76;58;8,44;16
08335043;090;Industriegebiet;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;6,48;9;8,33;-2
08335043;100;Egg;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;8;10,27;2;2,57;6
08335043;110;Litzelstetten;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;26;6,77;32;8,33;-6
08335043;120;Dingelsdorf;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;11;5,15;11;5,15;0
08335043;130;Dettingen;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;24;7,17;15;4,48;9
08335043;140;Wallhausen;2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;11,29;11;9,56;2
08335043;010;Altstadt;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;132;11,01;161;13,43;-29
08335043;020;Paradies;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;51;8,33;60;9,80;-9
08335043;030;Petershausen-West;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;146;9,51;93;6,06;53
08335043;035;Petershausen-Ost;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;56;7,87;157;22,05;-101
08335043;040;Koenigsbau;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;38;6,49;37;6,32;1
08335043;050;Allmannsdorf;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;33;6,21;40;7,53;-7
08335043;060;Staad;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;16;8,90;16;8,90;0
08335043;070;Fuerstenberg;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;108;8,98;94;7,82;14
08335043;080;Wollmatingen;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;71;10,62;61;9,13;10
08335043;090;Industriegebiet;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;12,70;6;5,86;7
08335043;100;Egg;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;9,25;4;5,28;3
08335043;110;Litzelstetten;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;33;8,64;25;6,55;8
08335043;120;Dingelsdorf;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;6,07;17;7,94;-4
08335043;130;Dettingen;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;29;9,23;18;5,73;11
08335043;140;Wallhausen;2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;7,75;9;7,75;0
08335043;010;Altstadt;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;129;10,80;124;10,38;5
08335043;020;Paradies;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;42;6,96;57;9,45;-15
08335043;030;Petershausen-West;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;123;8,26;96;6,45;27
08335043;035;Petershausen-Ost;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;49;6,93;136;19,24;-87
08335043;040;Koenigsbau;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;37;6,41;40;6,93;-3
08335043;050;Allmannsdorf;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;28;5,29;47;8,88;-19
08335043;060;Staad;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;16;8,83;9;4,96;7
08335043;070;Fuerstenberg;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;95;8,09;102;8,68;-7
08335043;080;Wollmatingen;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;63;9,53;51;7,71;12
08335043;090;Industriegebiet;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;7,36;7;7,36;0
08335043;100;Egg;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6;7,79;5;6,49;1
08335043;110;Litzelstetten;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;28;7,24;32;8,27;-4
08335043;120;Dingelsdorf;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;17;8,01;15;7,07;2
08335043;130;Dettingen;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;29;9,28;23;7,36;6
08335043;140;Wallhausen;2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;11,15;9;7,72;4
08335043;010;Altstadt;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;123;10,32;139;11,66;-16
08335043;020;Paradies;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;45;7,46;64;10,61;-19
08335043;030;Petershausen-West;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;124;8,35;110;7,41;14
08335043;035;Petershausen-Ost;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;42;6,05;152;21,91;-110
08335043;040;Koenigsbau;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;36;6,36;19;3,36;17
08335043;050;Allmannsdorf;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;27;5,15;48;9,16;-21
08335043;060;Staad;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;17;9,50;13;7,26;4
