AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1790;2138;302;392;3
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;503;782;112;137;0
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;4572;4419;701;1036;26
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1952;2639;348;507;9
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;334;364;45;88;69
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;219;365;24;28;6
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1068;1734;245;297;5
8335043;120;Dingelsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;541;1003;103;125;3
8335043;130;Dettingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;759;1576;191;198;3
8335043;140;Wallhausen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;345;492;64;87;0
8335043;10;Altstadt;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;5206;3683;577;998;27
8335043;20;Paradies;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2783;1800;388;467;2
8335043;30;Petershausen-West;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7080;4850;663;1274;93
8335043;35;Petershausen-Ost;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2274;2811;637;549;15
8335043;40;Koenigsbau;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2672;1924;248;425;5
8335043;50;Allmannsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1760;2147;309;382;2
8335043;60;Staad;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;487;802;121;135;0
8335043;70;Fuerstenberg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;4566;4364;707;1013;9
8335043;80;Wollmatingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1936;2649;344;514;3
8335043;90;Industriegebiet;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;369;380;45;95;45
8335043;100;Egg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;192;359;20;27;3
8335043;110;Litzelstetten;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1038;1740;234;295;5
8335043;120;Dingelsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;547;987;105;132;1
8335043;130;Dettingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;762;1563;194;198;4
8335043;140;Wallhausen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;342;481;68;92;0
8335043;10;Altstadt;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;5212;3657;574;1003;13
8335043;20;Paradies;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2843;1803;387;463;3
8335043;30;Petershausen-West;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6930;4752;667;1261;40
8335043;35;Petershausen-Ost;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2263;2727;646;541;25
8335043;40;Koenigsbau;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2627;1937;248;420;1
8335043;50;Allmannsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1733;2149;328;376;1
8335043;60;Staad;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;496;795;128;137;1
8335043;70;Fuerstenberg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;4701;4339;714;1023;3
8335043;80;Wollmatingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1930;2678;325;503;4
8335043;90;Industriegebiet;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;389;395;38;94;20
8335043;100;Egg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;200;351;18;33;2
8335043;110;Litzelstetten;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1028;1746;231;297;3
8335043;120;Dingelsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;564;997;107;135;0
8335043;130;Dettingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;768;1579;188;191;19
8335043;140;Wallhausen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;359;486;69;87;1
8335043;10;Altstadt;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;5218;3636;580;970;3
8335043;20;Paradies;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2797;1807;389;449;2
8335043;30;Petershausen-West;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6928;4698;669;1257;17
8335043;35;Petershausen-Ost;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2246;2740;652;530;5
